[datetime.date(2012, 11, 11), '6', '5', '47', '47', '6', '2', '9', '55', '63']
[datetime.date(2012, 11, 10), '6', '9', '40', '40', '6', '1', '7', '36', '131']
[datetime.date(2012, 11, 9), '5', None, '48', '48', '7', None, '10', '17', '161']
[datetime.date(2012, 11, 8), '5', '1', '61', '61', '9', '1', '9', '18', '130']
[datetime.date(2012, 11, 7), '1', '2', '46', '46', '8', None, '9', '17', '171']
[datetime.date(2012, 11, 6), '5', '1', '52', '52', '11', '1', '14', '23', '135']
[datetime.date(2012, 11, 5), '7', '4', '55', '55', '17', '3', '18', '32', '179']
[datetime.date(2012, 11, 4), '5', '10', '42', '42', '5', None, '6', '43', '58']
[datetime.date(2012, 11, 3), '8', '4', '58', '58', '5', None, '5', '29', '101']
[datetime.date(2012, 11, 2), '6', '1', '43', '43', '12', '2', '14', '36', '151']
[datetime.date(2012, 11, 1), '5', '5', '29', '29', '6', None, '9', '23', '113']
[datetime.date(2012, 10, 31), None, None, None, None, '15', '1', '16', '23', '191']
[datetime.date(2012, 10, 30), '4', '2', '42', '42', '10', None, '14', '21', '171']
[datetime.date(2012, 10, 29), '3', '2', '46', '46', '6', None, '6', '48', '180']
[datetime.date(2012, 10, 28), '3', '2', '31', '31', '11', '3', '11', '19', '155']
[datetime.date(2012, 10, 27), '5', '4', '39', '39', '19', None, '21', '20', None]
[datetime.date(2012, 10, 26), '4', '3', '38', '38', '16', '2', '19', '26', '157']
[datetime.date(2012, 10, 25), '3', '2', '48', '48', '10', None, '10', '12', '168']
[datetime.date(2012, 10, 24), '3', '2', '53', '53', '13', '1', '13', '31', '154']
[datetime.date(2012, 10, 23), '3', '4', '47', '47', '11', '1', '11', '25', '138']
[datetime.date(2012, 10, 22), '2', '4', '41', '41', '12', '4', '11', '32', '163']
[datetime.date(2012, 10, 21), '6', '10', '30', '30', '20', None, '27', '47', '80']
[datetime.date(2012, 10, 20), None, None, None, None, None, None, None, None, None]
[datetime.date(2012, 10, 19), None, None, None, None, None, None, None, None, None]
[datetime.date(2012, 10, 18), '2', '2', '55', '55', '11', None, '11', '24', '164']
[datetime.date(2012, 10, 17), '4', '2', '40', '40', '22', None, '23', '37', '199']
[datetime.date(2012, 10, 16), '4', None, '43', '43', '15', '2', '16', '19', '212']
[datetime.date(2012, 10, 15), '8', '2', '54', '54', '13', '1', '12', '38', '105']
[datetime.date(2012, 10, 14), '6', '3', '32', '32', '6', None, '8', '46', '51']
[datetime.date(2012, 10, 13), '6', '4', '33', '33', '14', '2', '16', '39', '115']
[datetime.date(2012, 10, 12), '4', '2', '34', '34', '11', None, '12', '34', '152']
[datetime.date(2012, 10, 11), None, None, None, None, None, None, None, None, None]
[datetime.date(2012, 10, 10), '9', '1', '43', '43', '9', '2', '8', '23', '159']
[datetime.date(2012, 10, 9), '5', '3', '43', '43', '11', None, '15', '24', '163']
[datetime.date(2012, 10, 8), '3', '3', '52', '52', '10', None, '10', '36', '155']
[datetime.date(2012, 10, 7), '3', '7', '35', '35', '11', '1', '16', '39', '106']
[datetime.date(2012, 10, 6), '5', '4', '42', '42', '13', '2', '13', '29', '114']
[datetime.date(2012, 10, 5), '3', '2', '40', '40', '14', None, '17', '29', '154']
[datetime.date(2012, 10, 4), '5', '5', '44', '44', '12', None, '15', '26', '156']
[datetime.date(2012, 10, 3), '5', '1', '32', '32', '17', '2', '26', '21', '159']
[datetime.date(2012, 10, 2), '7', '5', '38', '38', '10', '1', '9', '25', '149']
[datetime.date(2012, 10, 1), '5', '3', '52', '52', '8', None, '10', '35', '152']
[datetime.date(2012, 9, 30), '2', '2', '27', '27', '12', None, '18', '44', '85']
[datetime.date(2012, 9, 29), '5', '2', '44', '44', '9', None, '10', '35', '99']
[datetime.date(2012, 9, 28), '4', '3', '43', '43', '14', '2', '13', '30', '160']
[datetime.date(2012, 9, 27), '5', '2', '38', '38', '9', None, '10', '28', '139']
[datetime.date(2012, 9, 26), '6', '2', '48', '48', '13', None, '15', '27', '129']
[datetime.date(2012, 9, 25), '1', '4', '51', '51', '11', '1', '10', '32', '138']
[datetime.date(2012, 9, 24), '5', '1', '55', '55', '11', '1', '18', '65', '121']
