[datetime.date(2012, 9, 18), None, None, None, None, '9', '2', '7', '13', None, '509', '27', '1', '2', '2']
[datetime.date(2012, 9, 17), None, None, None, None, '5', '1', '4', '23', None, '536', '38', '1', '0', '1']
[datetime.date(2012, 9, 16), None, None, None, None, '4', '0', '7', '25', None, '495', '42', '1', '3', '0']
[datetime.date(2012, 9, 15), None, None, None, None, '6', '0', '7', '24', None, '543', '39', '0', '3', '1']
[datetime.date(2012, 9, 14), None, None, None, None, '5', '0', '7', '18', None, '488', '35', '0', '2', '3']
[datetime.date(2012, 9, 13), None, None, None, None, '6', '0', '10', '18', None, '501', '35', '1', '0', '4']
[datetime.date(2012, 9, 12), None, None, None, None, '6', '0', '6', '19', None, '539', '38', '2', '0', '6']
[datetime.date(2012, 9, 11), None, None, None, None, '7', '0', '11', '12', None, '544', '26', '0', '0', '0']
[datetime.date(2012, 9, 10), None, None, None, None, '10', '0', '20', '30', None, '502', '41', '0', '0', '3']
[datetime.date(2012, 9, 9), None, None, None, None, '3', '1', '2', '27', None, '551', '47', '3', '0', '0']
[datetime.date(2012, 9, 8), None, None, None, None, '7', '0', '12', '34', None, '531', '47', '0', '2', '0']
[datetime.date(2012, 9, 7), None, None, None, None, '6', '2', '6', '22', None, '496', '30', '0', '0', '4']
[datetime.date(2012, 9, 6), None, None, None, None, '6', '0', '7', '19', None, '481', '31', '0', '1', '5']
[datetime.date(2012, 9, 5), None, None, None, None, '3', '0', '5', '16', None, '542', '25', '2', '0', '2']
[datetime.date(2012, 9, 4), None, None, None, None, '3', '0', '3', '14', None, '510', '27', '1', '1', '3']
[datetime.date(2012, 9, 3), None, None, None, None, '3', '0', '4', '23', None, '602', '33', '2', '0', '0']
[datetime.date(2012, 9, 2), None, None, None, None, '0', '0', '0', '27', None, '560', '45', '3', '0', '1']
[datetime.date(2012, 9, 1), None, None, None, None, '2', '0', '2', '31', None, '646', '50', '2', '0', '1']
[datetime.date(2012, 8, 31), None, None, None, None, '7', '0', '12', '21', None, '575', '40', '3', '1', '2']
[datetime.date(2012, 8, 30), None, None, None, None, '7', '1', '9', '17', None, '540', '28', '1', '3', '2']
[datetime.date(2012, 8, 29), None, None, None, None, '8', '0', '10', '24', None, '497', '37', '1', '0', '2']
[datetime.date(2012, 8, 28), None, None, None, None, '8', '1', '8', '26', None, '549', '49', '2', '0', '2']
[datetime.date(2012, 8, 27), None, None, None, None, '9', '0', '12', '21', None, '540', '37', '1', '0', '1']
[datetime.date(2012, 8, 26), None, None, None, None, '5', '0', '5', '36', None, '690', '63', '0', '0', '0']
[datetime.date(2012, 8, 25), None, None, None, None, '3', '0', '4', '23', None, '645', '33', '3', '2', '0']
[datetime.date(2012, 8, 24), None, None, None, None, '5', '0', '6', '11', None, '585', '21', '0', '5', '3']
[datetime.date(2012, 8, 23), None, None, None, None, '15', '0', '17', '22', None, '598', '44', '1', '0', '2']
[datetime.date(2012, 8, 22), None, None, None, None, '6', '0', '7', '29', None, '638', '54', '2', '1', '2']
[datetime.date(2012, 8, 21), None, None, None, None, '8', '0', '11', '23', None, '545', '37', '2', '0', '11']
[datetime.date(2012, 8, 20), None, None, None, None, '8', '2', '14', '17', None, '604', '34', '1', '0', '3']
[datetime.date(2012, 8, 19), None, None, None, None, '7', '0', '12', '36', None, '588', '52', '0', '1', '0']
[datetime.date(2012, 8, 18), None, None, None, None, '5', '0', '5', '21', None, '617', '35', '0', '2', '3']
[datetime.date(2012, 8, 17), None, None, None, None, '6', '0', '7', '17', None, '519', '33', '3', '0', '8']
[datetime.date(2012, 8, 16), None, None, None, None, '6', '1', '7', '21', None, '583', '46', '2', '0', '3']
[datetime.date(2012, 8, 15), None, None, None, None, '3', '0', '5', '11', None, '380', '14', '1', '0', '0']
[datetime.date(2012, 8, 14), None, None, None, None, '8', '0', '13', '8', None, '502', '21', '0', '0', '5']
[datetime.date(2012, 8, 13), None, None, None, None, '5', '0', '5', '29', None, '518', '44', '3', '0', '1']
[datetime.date(2012, 8, 12), None, None, None, None, '6', '1', '5', '21', None, '525', '31', '0', '0', '1']
[datetime.date(2012, 8, 11), None, None, None, None, '5', '0', '5', '19', None, '579', '24', '0', '1', '0']
[datetime.date(2012, 8, 10), None, None, None, None, '9', '0', '10', '18', None, '593', '39', '0', '1', '2']
[datetime.date(2012, 8, 9), None, None, None, None, '6', '1', '8', '23', None, '479', '29', '1', '1', '2']
[datetime.date(2012, 8, 8), None, None, None, None, '7', '1', '6', '23', None, '623', '36', '1', '0', '2']
[datetime.date(2012, 8, 7), None, None, None, None, '8', '0', '10', '20', None, '552', '39', '1', '0', '1']
[datetime.date(2012, 8, 6), None, None, None, None, '6', '1', '7', '28', None, '668', '40', '1', '0', '1']
[datetime.date(2012, 8, 5), None, None, None, None, '3', '0', '6', '26', None, '697', '50', '4', '0', '0']
[datetime.date(2012, 8, 4), None, None, None, None, '8', '1', '8', '23', None, '720', '33', '1', '0', '1']
[datetime.date(2012, 8, 3), None, None, None, None, '3', '0', '2', '26', None, '631', '45', '1', '3', '1']
[datetime.date(2012, 8, 2), None, None, None, None, '10', '0', '13', '29', None, '678', '38', '1', '1', '5']
[datetime.date(2012, 8, 1), None, None, None, None, '3', '0', '4', '17', None, '556', '22', '0', '1', '0']
[datetime.date(2012, 7, 31), None, None, None, None, '1', '0', '3', '22', None, '541', '30', '2', '1', '4']
[datetime.date(2012, 7, 30), None, None, None, None, '9', '1', '14', '20', None, '569', '31', '0', '1', '0']
[datetime.date(2012, 7, 29), None, None, None, None, '4', '2', '3', '25', None, '670', '38', '3', '0', '2']
[datetime.date(2012, 7, 28), None, None, None, None, '10', '0', '13', '34', None, '745', '50', '1', '1', '2']
[datetime.date(2012, 7, 27), None, None, None, None, '3', '1', '3', '39', None, '667', '41', '2', '2', '7']
[datetime.date(2012, 7, 26), None, None, None, None, '7', '0', '9', '28', None, '601', '41', '0', '3', '4']
[datetime.date(2012, 7, 25), None, None, None, None, '4', '1', '5', '20', None, '559', '31', '1', '0', '6']
[datetime.date(2012, 7, 24), None, None, None, None, '6', '0', '7', '19', None, '543', '36', '0', '0', '3']
[datetime.date(2012, 7, 23), None, None, None, None, '14', '2', '21', '22', None, '633', '34', '1', '0', '2']
[datetime.date(2012, 7, 22), None, None, None, None, '5', '1', '9', '27', None, '548', '44', '1', '1', '0']
[datetime.date(2012, 7, 21), None, None, None, None, '9', '0', '12', '19', None, '553', '28', '1', '0', '0']
[datetime.date(2012, 7, 20), None, None, None, None, '5', '2', '4', '25', None, '600', '43', '0', '1', '8']
[datetime.date(2012, 7, 19), None, None, None, None, '3', '0', '6', '16', None, '541', '34', '3', '1', '1']
